doc_id,title,year,doi,studied_genera,n_studied_genera,regions_detected,n_regions_detected,unassigned_genera,single_biogeographic_region,article_region_assignment
1,"Nuclear mitochondrial DNA: An Achilles' heel of molecular systematics, phylogenetics, and phylogeographic studies of stingless bees",2012,10.1007/s13592-012-0122-4,Melipona,1,Neotropical,1,,Neotropical,Neotropical
2,"Detection, replication and quantification of deformed wing virus-A, deformed wing virus-B, and black queen cell virus in the endemic stingless bee, Melipona colimana, from Jalisco, Mexico",2021,10.1007/s42690-020-00320-7,Melipona,1,Neotropical,1,,Neotropical,Neotropical
3,"Pleistocene climate changes shaped the population structure of Partamona seridoensis (Apidae, Meliponini), an endemic stingless bee from the Neotropical dry forest",2017,10.1371/journal.pone.0175725,Partamona,1,Neotropical,1,,Neotropical,Neotropical
4,Mitochondrial DNA polymorphism among populations of melipona quadrifasciata quadrifasciata lepeletier (Apidae: Meliponini) from Southern Brazil; [Polimorfi smo do DNA mitocondrial entre populações de melipona quadrifasciata quadrifasciata Lepeletier (Apidae: Meliponini) do Sul do Brasil],2009,10.1590/s1519-566x2009000200007,Melipona,1,Neotropical,1,,Neotropical,Neotropical
5,"Honey characterization and identification of fructophilic lactic acid bacteria of fresh samples from Melipona beecheii, Scaptotrigona pectoralis, Plebeia llorentei, and Plebeia jatiformis hives",2023,10.3389/fsufs.2023.1113920,Melipona; Plebeia; Scaptotrigona,3,Neotropical,1,,Neotropical,Neotropical
6,"Stingless bees (Hymenoptera: Apidae) in South and West Sulawesi, Indonesia: morphology, nest structure, and molecular characteristics",2021,10.1080/00218839.2020.1816272,Lepidotrigona; Tetragonula; Wallacetrigona,3,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
7,TAXONOMIC STATUS OF STINGLESS BEE LEPIDOTRIGONA ARCIFERA (HYMENOPTERA: MELIPONINI) FROM THE SOUTHWEST CHINA - TIBETAN PLATEAU,2024,10.2478/jas-2024-0008,Lepidotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
8,"Gene Flow Between Populations With Highly Divergent Mitogenomes in the Australian Stingless Bee, Tetragonula hockingsi",2024,10.1002/ece3.70475,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
9,Repetitive DNAs in Melipona scutellaris (Hymenoptera: Apidae: Meliponidae): chromosomal distribution and test of multiple heterochromatin amplification in the genus,2018,10.1007/s13592-018-0577-z,Melipona,1,Neotropical,1,,Neotropical,Neotropical
10,Comparative molecular cytogenetics of Melipona Illiger species (Hymenoptera: Apidae),2018,10.13102/sociobiology.v65i4.3480,Melipona,1,Neotropical,1,,Neotropical,Neotropical
11,"The Mitochondrial Genome of Melipona fasciculata (Apidae, Meliponini): Genome Organization and Comparative Analyses, Phylogenetic Implications and Divergence Time Estimations",2025,10.1007/s10528-024-10991-3,Melipona,1,Neotropical,1,,Neotropical,Neotropical
12,"Insights into the Melipona scutellaris (Hymenoptera, Apidae, Meliponini) fat body transcriptome",2013,10.1590/s1415-47572013000200022,Melipona,1,Neotropical,1,,Neotropical,Neotropical
13,Comparative cytogenetics in three Melipona species (Hymenoptera: Apidae) with two divergent heterochromatic patterns,2018,10.1590/1678-4685-gmb-2017-0330,Melipona,1,Neotropical,1,,Neotropical,Neotropical
14,Barcoding stingless bees: Genetic diversity of the economically important genus Scaptotrigona in Mesoamerica,2013,10.1007/s13592-012-0146-9,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
15,"Exploring genetic and morphometric variations in Partamona ailyae, a widely distributed neotropical stingless bee of South America",2025,10.1007/s10841-025-00687-3,Partamona,1,Neotropical,1,,Neotropical,Neotropical
16,Unveiling the Genetic Structure and Ecological Niche Diversification of the Stingless Bee Tetragonisca angustula (Meliponini) in Peruvian Amazon,2025,10.1111/jbi.70107,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
17,Population structure of the stingless bee (Tetragonula pagdeni Schwarz) in Thailand determined by cytochrome b and ATPase6–tRNAASP sequence analysis,2014,,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
18,Loss and gain of gut bacterial phylotype symbionts in afrotropical stingless bee species (Apidae: Meliponinae),2021,10.3390/microorganisms9122420,Dactylurina; Hypotrigona; Liotrigona; Meliponula,4,Afrotropical,1,,Afrotropical,Afrotropical
19,First detection of honey bee viruses in stingless bees in North America,2015,10.1080/00218839.2015.1100154,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
20,Biochemical genetic differentiation in the Trigona atripes species group of Malaysian stingless bees (insecta: hymenoptera: apidae),1991,10.1016/0305-0491(91)90345-e,Trigona,1,Neotropical,1,,Neotropical,Neotropical
21,Genetic variability of melipona subnitida (hymenoptera: Apidae) in introduced and native populations,2018,10.1093/jisesa/iey089,Melipona,1,Neotropical,1,,Neotropical,Neotropical
22,"Exploring integument transcriptomes, cuticle ultrastructure, and cuticular hydrocarbons profiles in eusocial and solitary bee species displaying heterochronic adult cuticle maturation",2019,10.1371/journal.pone.0213796,Frieseomelitta,1,Neotropical,1,,Neotropical,Neotropical
23,"The nuclear and mitochondrial genome assemblies of Tetragonisca angustula (Apidae: Meliponini), a tiny yet remarkable pollinator in the Neotropics",2024,10.1186/s12864-024-10502-z,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
24,Relatedness and dispersal distance of eusocial bee males on mating swarms,2016,10.1111/ens.12195,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
25,Intraspecific variation in the stingless bee Melipona beecheii assessed with PCR-RFLP of the ITS1 ribosomal DNA,2009,10.1051/apido/2009036,Melipona,1,Neotropical,1,,Neotropical,Neotropical
26,Intraspecific queen parasitism in a highly eusocial bee,2011,10.1098/rsbl.2010.0819,Melipona,1,Neotropical,1,,Neotropical,Neotropical
27,Identification of stingless bees (Hymenoptera: Apidae) in Kenya using morphometrics and DNA barcoding; [Identificación de las abejas sin aguijón (Hymenoptera: Apidae) en Kenia usando morfometría y ADN barcoding (código de barras molecular)],2017,10.1080/00218839.2017.1327939,Dactylurina; Meliponula; Plebeina,3,Afrotropical,1,,Afrotropical,Afrotropical
